header:
('Sony', 'PlayStation Vita (PSV)', 'Europe')
row data:
   Season  Year  Sale
0     DEC  2013   230
1     DEC  2014    90
2     DEC  2015   240
3     DEC  2016   140
4     DEC  2017    40
5     DEC  2018     0
6     DEC  2019     0
7     DEC  2020     0
8     JUN  2013   330
9     JUN  2014   110
10    JUN  2015   150
11    JUN  2016   130
12    JUN  2017    60
13    JUN  2018    10
14    JUN  2019     0
15    JUN  2020     0
16    MAR  2013   170
17    MAR  2014   390
18    MAR  2015   170
19    MAR  2016     0
20    MAR  2017   270
21    MAR  2018    50
22    MAR  2019     0
23    MAR  2020     0
24    SEP  2013   130
25    SEP  2014    70
26    SEP  2015  1080
27    SEP  2016   140
28    SEP  2017    30
29    SEP  2018     0
30    SEP  2019     0
31    SEP  2020     0
insights:
{'point': [], 'shape': [], 'compound': []}
